Food_Name,PC1,PC2,cluster
"Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water",-2.4513690333471225,-0.30242849071619865,1
"Infant formula, store brand, soy",-2.4274358656519635,-0.36588113657217797,1
"Infant formula, Enfamil Nutramigen, ready-to-feed",-2.4778743964804684,-0.38486701726837586,1
"Infant formula, Enfamil Nutramigen, powder, made with water",-2.4778743964804684,-0.38486701726837586,1
"Infant formula, Enfamil Pregestimil, ready-to-feed",-1.5367588093009268,-2.033809800726321,1
"Infant formula, Enfamil Pregestimil, powder, made with water",-1.5367588093009268,-2.033809800726321,1
"Infant formula, amino acids",-2.0934507926962245,-1.2387430254131504,1
"Infant formula, low iron",-2.544518263499348,-0.5382344473357561,1
"Milk, dry, not reconstituted",6.566251470601883,5.531852059326237,0
"Whey, sweet, dry",5.283151262149092,5.003516571668754,0
"Cocoa powder, not reconstituted",10.811360760301778,6.268986436628406,6
"Chocolate beverage powder, dry mix, not reconstituted",1.292100874101643,1.5784295486734594,0
"Chocolate beverage powder, light, dry mix, not reconstituted",7.832314182803883,9.04156146359521,0
"Milk, malted, dry mix, not reconstituted",6.821127192157118,9.07924911530001,0
"Strawberry beverage powder, dry mix, not reconstituted",-1.8231159204732261,-0.1250194906491678,0
"Cream, NS as to light, heavy, or half and half",0.07237293551820756,-3.239346789086073,1
"Cream, light",1.6931952467075813,-4.795414126820768,2
"Cream, half and half",0.07237293551820756,-3.239346789086073,1
"Cream, half and half, flavored",0.0002490600917942409,-3.185916744761665,1
"Cream, half and half, fat free",-2.531349192228202,-0.32206585513923003,1
"Cream, heavy",6.269773320041968,-9.265468875336536,2
"Cream, whipped",5.7891739413795555,-8.727059874154326,2
"Coffee creamer, NFS",-1.9399242159748245,-1.2817492407770057,1
"Coffee creamer, liquid",-1.9399242159748245,-1.2817492407770057,1
"Coffee creamer, liquid, flavored",-0.7165168822697574,-1.1510841105026444,0
"Coffee creamer, liquid, fat free",-2.9914191398182712,-0.7292668740237296,1
"Coffee creamer, liquid, fat free, flavored",-2.7114284378258624,-0.6058733871382204,1
"Coffee creamer, liquid, fat free, sugar free, flavored",-2.9914191398182712,-0.7292668740237296,1
"Coffee creamer, liquid, sugar free, flavored",-2.9914191398182712,-0.7292668740237296,1
"Coffee creamer, powder",5.3826954557092845,-7.288633149799372,2
"Coffee creamer, powder, flavored",3.7926017846358056,-6.7177189429022865,2
"Coffee creamer, powder, fat free",1.0652492922576051,-1.1967369321849333,0
"Coffee creamer,powder, sugar free, flavored",5.3826954557092845,-7.288633149799372,2
"Coffee creamer, soy, liquid",-1.9399242159748245,-1.2817492407770057,1
Whipped topping,3.081760956782751,-7.767914455790417,2
"Whipped topping, fat free",0.34934284634134133,-3.9877410941491442,1
